Count_bfp_objects,Count_gfp_objects,FileName_bfp,FileName_gfp,ImageNumber
5716.0,145.0,"C11_-1_3_1_Stitched[DAPI 377,447]_006.tif","C11_-1_2_1_Stitched[GFP 469,525]_006.tif",149
5831.0,133.0,"C11_-1_3_1_Stitched[DAPI 377,447]_007.tif","C11_-1_2_1_Stitched[GFP 469,525]_007.tif",150
5724.0,146.0,"C11_-1_3_1_Stitched[DAPI 377,447]_008.tif","C11_-1_2_1_Stitched[GFP 469,525]_008.tif",151
6046.0,170.0,"C11_-1_3_1_Stitched[DAPI 377,447]_009.tif","C11_-1_2_1_Stitched[GFP 469,525]_009.tif",152
6010.0,170.0,"C11_-1_3_1_Stitched[DAPI 377,447]_010.tif","C11_-1_2_1_Stitched[GFP 469,525]_010.tif",153
6221.0,223.0,"C11_-1_3_1_Stitched[DAPI 377,447]_011.tif","C11_-1_2_1_Stitched[GFP 469,525]_011.tif",154
6356.0,211.0,"C11_-1_3_1_Stitched[DAPI 377,447]_012.tif","C11_-1_2_1_Stitched[GFP 469,525]_012.tif",155
6456.0,234.0,"C11_-1_3_1_Stitched[DAPI 377,447]_013.tif","C11_-1_2_1_Stitched[GFP 469,525]_013.tif",156
7485.0,41.0,"C2_-1_3_1_Stitched[DAPI 377,447]_001.tif","C2_-1_2_1_Stitched[GFP 469,525]_001.tif",157
8063.0,33.0,"C2_-1_3_1_Stitched[DAPI 377,447]_002.tif","C2_-1_2_1_Stitched[GFP 469,525]_002.tif",158
8735.0,33.0,"C2_-1_3_1_Stitched[DAPI 377,447]_003.tif","C2_-1_2_1_Stitched[GFP 469,525]_003.tif",159
9405.0,36.0,"C2_-1_3_1_Stitched[DAPI 377,447]_004.tif","C2_-1_2_1_Stitched[GFP 469,525]_004.tif",160
9892.0,34.0,"C2_-1_3_1_Stitched[DAPI 377,447]_005.tif","C2_-1_2_1_Stitched[GFP 469,525]_005.tif",161
10227.0,33.0,"C2_-1_3_1_Stitched[DAPI 377,447]_006.tif","C2_-1_2_1_Stitched[GFP 469,525]_006.tif",162
10480.0,34.0,"C2_-1_3_1_Stitched[DAPI 377,447]_007.tif","C2_-1_2_1_Stitched[GFP 469,525]_007.tif",163
10730.0,43.0,"C2_-1_3_1_Stitched[DAPI 377,447]_008.tif","C2_-1_2_1_Stitched[GFP 469,525]_008.tif",164
11365.0,57.0,"C2_-1_3_1_Stitched[DAPI 377,447]_009.tif","C2_-1_2_1_Stitched[GFP 469,525]_009.tif",165
11690.0,51.0,"C2_-1_3_1_Stitched[DAPI 377,447]_010.tif","C2_-1_2_1_Stitched[GFP 469,525]_010.tif",166
11711.0,40.0,"C2_-1_3_1_Stitched[DAPI 377,447]_011.tif","C2_-1_2_1_Stitched[GFP 469,525]_011.tif",167
12268.0,42.0,"C2_-1_3_1_Stitched[DAPI 377,447]_012.tif","C2_-1_2_1_Stitched[GFP 469,525]_012.tif",168
